OP_UNIQUE_CARRIER,ORIGIN,DEST,CANCELLED,DISTANCE_GROUP
AA,DCA,ORD,1.00,3
AA,DCA,ORD,0.00,3
AA,DCA,ORD,1.00,3
AA,DCA,ORD,1.00,3
AA,DCA,ORD,0.00,3
AA,DFW,DCA,1.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,1.00,5
AA,MIA,DCA,0.00,4
AA,MIA,DCA,1.00,4
AA,MIA,DCA,1.00,4
AA,MIA,DCA,0.00,4
AA,MIA,DCA,0.00,4
AA,MIA,DCA,0.00,4
AA,MIA,DCA,1.00,4
AA,MIA,DCA,1.00,4
AA,MIA,DCA,0.00,4
AA,MIA,DCA,1.00,4
AA,MIA,DCA,1.00,4
AA,MIA,DCA,1.00,4
AA,MIA,DCA,0.00,4
AA,MIA,DCA,1.00,4
AA,MIA,DCA,1.00,4
AA,DCA,DFW,1.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,1.00,5
AA,LAX,IAD,0.00,10
AA,LAX,IAD,1.00,10
AA,LAX,IAD,1.00,10
AA,LAX,IAD,0.00,10
AA,LAX,IAD,0.00,10
AA,ATL,DCA,1.00,3
AA,ATL,DCA,1.00,3
AA,ATL,DCA,1.00,3
AA,ATL,DCA,1.00,3
AA,ATL,DCA,1.00,3
AA,DCA,ATL,1.00,3
AA,DCA,ATL,1.00,3
AA,DCA,ATL,1.00,3
AA,DCA,ATL,1.00,3
AA,DCA,ATL,1.00,3
AA,DCA,ATL,1.00,3
AA,ATL,DCA,1.00,3
AA,DFW,ORF,1.00,5
AA,DFW,ORF,0.00,5
AA,DFW,ORF,0.00,5
AA,DFW,ORF,0.00,5
AA,ORF,DFW,1.00,5
AA,ORF,DFW,0.00,5
AA,ORF,DFW,0.00,5
AA,ORF,DFW,0.00,5
AA,PHX,DCA,0.00,8
AA,PHX,DCA,0.00,8
AA,PHX,DCA,1.00,8
AA,PHX,DCA,1.00,8
AA,PHX,DCA,0.00,8
AA,PHX,DCA,0.00,8
AA,PHX,DCA,1.00,8
AA,PHX,DCA,1.00,8
AA,PHX,DCA,0.00,8
AA,PHX,DCA,1.00,8
AA,PHX,DCA,1.00,8
AA,PHX,DCA,0.00,8
AA,PHX,DCA,0.00,8
AA,PHX,DCA,0.00,8
AA,PHX,DCA,0.00,8
AA,PHX,DCA,0.00,8
AA,PHX,DCA,0.00,8
AA,DCA,DFW,1.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,1.00,5
AA,PIT,DCA,1.00,1
AA,DCA,CLT,0.00,2
AA,DCA,CLT,0.00,2
AA,DCA,CLT,0.00,2
AA,DCA,CLT,0.00,2
AA,DCA,CLT,0.00,2
AA,DCA,CLT,1.00,2
AA,IAD,DFW,1.00,5
AA,IAD,DFW,0.00,5
AA,IAD,DFW,0.00,5
AA,IAD,DFW,1.00,5
AA,IAD,DFW,0.00,5
AA,IAD,DFW,0.00,5
AA,IAD,DFW,1.00,5
AA,IAD,DFW,0.00,5
AA,IAD,DFW,0.00,5
AA,IAD,DFW,0.00,5
AA,IAD,DFW,0.00,5
AA,IAD,DFW,0.00,5
AA,IAD,DFW,0.00,5
AA,IAD,DFW,0.00,5
AA,IAD,DFW,1.00,5
AA,IAD,DFW,0.00,5
AA,IAD,DFW,0.00,5
AA,IAD,DFW,0.00,5
AA,IAD,DFW,0.00,5
AA,IAD,DFW,0.00,5
AA,CLT,ORF,1.00,2
AA,CLT,ORF,1.00,2
AA,CLT,ORF,1.00,2
AA,CLT,ORF,1.00,2
AA,CLT,ORF,1.00,2
AA,CLT,ORF,0.00,2
AA,CLT,ORF,0.00,2
AA,CLT,ORF,1.00,2
AA,CLT,ORF,1.00,2
AA,CLT,ORF,1.00,2
AA,CLT,ORF,1.00,2
AA,CLT,ORF,1.00,2
AA,CLT,ORF,0.00,2
AA,CLT,ORF,1.00,2
AA,CLT,ORF,0.00,2
AA,CLT,ORF,1.00,2
AA,DCA,MIA,0.00,4
AA,DCA,MIA,1.00,4
AA,DCA,MIA,1.00,4
AA,DCA,MIA,1.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,1.00,4
AA,DCA,MIA,1.00,4
AA,DCA,MIA,1.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,1.00,4
AA,DCA,MIA,0.00,4
