Date,Open,High,Low,Close,Volume
06/29/2020,"27.20","28.82","26.58","28.61","38,727,328"
06/26/2020,"28.02","28.10","26.24","26.91","45,683,441"
06/25/2020,"26.52","28.16","26.27","28.01","37,309,398"
06/24/2020,"28.75","28.99","26.93","27.34","45,272,512"
06/23/2020,"29.53","29.65","28.73","29.64","33,474,969"
06/22/2020,"29.03","29.84","28.56","29.31","42,192,660"
06/19/2020,"31.51","31.52","29.02","29.51","48,103,859"
06/18/2020,"29.88","31.15","29.60","30.79","40,662,578"
06/17/2020,"30.84","31.16","30.08","30.72","37,722,141"
06/16/2020,"32.63","33.02","30.61","31.30","63,426,688"
06/15/2020,"28.30","30.97","28.00","30.46","64,288,754"
06/12/2020,"29.89","30.74","28.75","30.43","68,352,367"
06/11/2020,"26.65","29.57","26.60","27.20","88,001,453"
06/10/2020,"32.24","32.99","29.76","31.64","90,379,430"
06/09/2020,"34.50","34.73","32.65","34.17","60,254,520"
06/08/2020,"36.63","37.08","35.38","36.97","82,137,328"
06/05/2020,"37.20","37.24","33.45","34.16","130,685,398"
06/04/2020,"30.27","32.81","29.22","32.38","134,626,500"
06/03/2020,"27.01","28.60","26.70","28.47","65,011,102"
06/02/2020,"26.68","26.98","25.94","26.41","43,200,422"
06/01/2020,"25.33","26.76","25.08","26.17","46,647,199"
05/29/2020,"24.62","25.61","24.37","25.21","50,687,512"
05/28/2020,"26.25","26.36","24.95","25.66","54,071,473"
05/27/2020,"27.67","27.85","24.73","26.32","92,711,992"
05/26/2020,"24.48","25.87","24.28","25.65","78,557,078"
05/22/2020,"23.24","23.40","22.23","22.69","37,139,328"
05/21/2020,"22.77","23.68","22.67","23.16","46,567,246"
05/20/2020,"22.34","23.10","22.14","22.72","50,856,961"
05/19/2020,"22.57","22.57","21.32","21.76","70,906,352"
05/18/2020,"20.91","21.94","20.55","21.86","74,681,695"
05/15/2020,"18.97","19.65","18.62","19.19","46,861,840"
05/14/2020,"18.80","19.54","17.51","19.38","88,506,250"
05/13/2020,"20.97","20.97","19.09","19.41","72,264,891"
05/12/2020,"22.10","22.40","21.03","21.03","37,466,273"
05/11/2020,"22.10","22.51","21.55","22.01","39,151,910"
05/08/2020,"22.36","22.92","22.05","22.72","43,366,770"
05/07/2020,"21.07","22.50","21.02","21.68","48,328,180"
05/06/2020,"21.76","22.10","20.75","21.00","52,949,152"
05/05/2020,"23.02","23.50","21.51","21.71","51,178,738"
05/04/2020,"21.19","22.79","20.50","22.57","91,387,133"
05/01/2020,"24.95","25.40","23.72","24.12","45,146,129"
04/30/2020,"26.70","27.23","25.50","25.91","63,570,688"
04/29/2020,"25.69","27.60","25.50","27.32","81,613,375"
04/28/2020,"23.00","24.90","22.65","24.34","83,972,148"
04/27/2020,"22.83","23.44","22.00","22.16","50,561,648"
04/24/2020,"22.53","22.68","21.75","22.41","43,766,609"
04/23/2020,"22.65","22.96","22.41","22.48","43,581,840"
04/22/2020,"23.88","23.94","21.63","22.47","70,221,359"
04/21/2020,"23.02","23.77","22.80","23.10","38,616,711"
04/20/2020,"23.44","24.12","22.91","23.64","42,950,781"
04/17/2020,"24.15","24.61","23.59","24.27","52,594,480"
04/16/2020,"23.76","23.80","22.63","22.78","57,610,191"
04/15/2020,"24.91","25.50","23.31","24.35","88,092,461"
04/14/2020,"23.99","25.29","23.83","24.54","60,843,594"
04/13/2020,"24.98","25.06","22.08","23.25","76,172,969"
04/09/2020,"25.40","25.53","23.35","24.39","91,692,867"
04/08/2020,"23.09","23.64","22.53","23.23","67,565,195"
04/07/2020,"25.21","25.85","21.90","22.25","98,907,234"
04/06/2020,"22.31","23.50","20.76","22.32","94,426,000"
04/03/2020,"23.03","23.65","21.75","22.48","48,967,848"
04/02/2020,"23.92","24.65","22.51","22.68","39,407,441"
04/01/2020,"26.59","26.59","23.69","23.87","56,132,992"
03/31/2020,"29.35","30.53","28.42","28.53","25,002,301"
03/30/2020,"28.49","29.29","26.00","28.67","29,527,480"
03/27/2020,"30.72","31.32","29.02","29.55","34,960,738"
03/26/2020,"32.61","35.89","30.42","31.70","57,913,539"
03/25/2020,"31.49","33.28","27.40","31.10","70,733,906"
03/24/2020,"26.26","28.98","24.52","26.89","65,730,289"
03/23/2020,"22.17","22.83","20.60","22.22","44,426,359"
03/20/2020,"23.17","26.85","21.26","21.35","55,062,898"
03/19/2020,"23.36","24.15","20.00","21.51","44,623,379"
03/18/2020,"29.79","29.79","19.10","23.49","64,242,527"
03/17/2020,"36.23","37.19","30.60","31.74","33,097,461"
03/16/2020,"32.80","38.08","31.23","35.81","35,535,359"
03/13/2020,"38.54","38.74","34.79","38.36","33,052,488"
03/12/2020,"37.47","38.78","33.46","33.71","36,331,859"
03/11/2020,"44.00","44.34","41.73","42.67","23,567,779"
